region;municipality;settlement;latitude;longitude;fullOfficeName
Забайкальский край;Хилокский район;Хилок;51.3633333333333;110.458888888889;Забайкальский край, Хилокский район, г. Хилок
Забайкальский край;;Чита;52.0338888888889;113.49944444444401;Забайкальский край, г. Чита
Забайкальский край;Шилкинский район;Шилка;51.8494444444444;116.03361111111099;Забайкальский край, Шилкинский район, г. Шилка
Ивановская область;Вичугский район;Вичуга;57.2138888888889;41.91777777777779;Ивановская область, Вичугский район, г. Вичуга
Ивановская область;Гаврилово-Посадский район;Гаврилов Посад;56.5583333333333;40.12;Ивановская область, Гаврилово-Посадский район, г. Гаврилов Посад
Ивановская область;Город Иваново;Иваново;57.0002777777778;40.9738888888889;Ивановская область, Город Иваново, г. Иваново
Ивановская область;Заволжский район;Заволжск;57.491666666666696;42.1375;Ивановская область, Заволжский район, г. Заволжск
Ивановская область;Кинешемский район;Кинешма;57.4425;42.1688888888889;Ивановская область, Кинешемский район, г. Кинешма
Ивановская область;Кинешемский район;Наволоки;57.468611111111095;41.964444444444396;Ивановская область, Кинешемский район, г. Наволоки
Ивановская область;Комсомольский район;Комсомольск;57.0275;40.3775;Ивановская область, Комсомольский район, г. Комсомольск
Ивановская область;Приволжский район;Плес;57.4605555555556;41.512222222222206;Ивановская область, Приволжский район, г. Плес
Ивановская область;Приволжский район;Приволжск;57.3805555555556;41.2808333333333;Ивановская область, Приволжский район, г. Приволжск
Ивановская область;Пучежский район;Пучеж;56.982222222222205;43.1683333333333;Ивановская область, Пучежский район, г. Пучеж
Ивановская область;Родниковский район;Родники;57.107222222222205;41.7333333333333;Ивановская область, Родниковский район, г. Родники
Ивановская область;Тейковский район;Тейково;56.85;40.5330555555556;Ивановская область, Тейковский район, г. Тейково
Ивановская область;Фурмановский район;Фурманов;57.2525;41.106111111111105;Ивановская область, Фурмановский район, г. Фурманов
Ивановская область;Шуйский район;Шуя;56.8519444444444;41.3855555555556;Ивановская область, Шуйский район, г. Шуя
